"veiculo","nome_motor","configuracao_motor","ano_inicial","ano_final","cilindrada"
(6011.000.005.00.0),"2.8 MWM SPRINT 4.07 TCA",-,"01/01/2006","",""
-,(4X2),-,"01/01/1997","",""
-,-,"","01/01/1960","",""
-,-,-,"01/01/1960","",""
-,-,-,"01/01/1960","01/01/1966",""
-,-,-,"01/01/1960","01/01/1982",""
-,-,-,"01/01/1960","01/01/2010",""
-,-,-,"01/01/1992","01/01/1993",""
-,-,-,"01/01/1994","",""
-,-,-,"01/01/1995","",""
-,-,-,"01/01/1997","",""
-,-,-,"01/01/1998","",""
-,-,-,"01/01/2000","",""
-,-,-,"01/01/2001","01/01/2002",""
-,-,-,"01/01/2004","01/01/2005",""
-,-,-,"01/01/2007","01/01/2008",""
-,-,-,"01/01/2016","",""
-,-,"0101","01/01/1960","",""
-,-,"0345","01/01/1960","",""
-,-,"10R2144 UP-22 R942 UP64U1ES","01/01/1960","",""
-,-,"1104C-44TAG2","01/01/1960","",""
-,-,"118CV","01/01/2013","",""
-,-,"11R652 UP - 24R942 UP","01/01/1960","",""
-,-,"12Y","01/01/1960","",""
-,-,"13U1 - 681","01/01/1960","",""
-,-,"13U942 UP-87V1 UP","01/01/1960","",""
-,-,"14K-10R12143-22R1941","01/01/1960","",""
-,-,"14U388 UP - 72V - 61V","01/01/1960","",""
-,-,"1984-1998","01/01/1960","",""
-,-,"1988","01/01/1960","",""
-,-,"1999","01/01/1960","",""
-,-,"1AM","01/01/1960","",""
-,-,"1CR864","01/01/1960","",""
-,-,"1FR1 - 1415","01/01/1960","",""
-,-,"1HJ","01/01/1960","",""
-,-,"1JR1107","01/01/1960","",""
-,-,"1PR1 - 1598","01/01/1960","",""
-,-,"1TR1","01/01/1960","",""
-,-,"1WR1 - 8115","01/01/1960","",""
-,-,"1XS1","01/01/1960","",""
-,-,"1YS1","01/01/1960","",""
-,-,"1ZR926 - 999","01/01/1960","",""
-,-,"202487","01/01/1960","",""
-,-,"202727","01/01/1960","",""
-,-,"2029","01/01/1960","",""
-,-,"2088","01/01/1960","",""
-,-,"2200","01/01/1960","",""
-,-,"2201","01/01/1960","",""
-,-,"2298","01/01/1960","",""
-,-,"2376","01/01/1960","",""
-,-,"2628","01/01/1960","",""
-,-,"2901","01/01/1960","",""
-,-,"2AS1","01/01/1960","",""
-,-,"2ES1","01/01/1960","",""
-,-,"2KW0212","01/01/1960","",""
-,-,"2KW1","01/01/1960","",""
-,-,"2WM1","01/01/1960","",""
-,-,"3 CIL.","01/01/1960","",""
-,-,"3054","01/01/1960","",""
-,-,"3054 6FK1UP","01/01/1960","",""
-,-,"3054C","01/01/1960","",""
-,-,"3054E","01/01/1960","",""
-,-,"3056","01/01/1960","",""
-,-,"3056 1ML1UP","01/01/1960","",""
-,-,"3056 7MS12689","01/01/1960","",""
-,-,"3056 7MS2690-UP","01/01/1960","",""
-,-,"3056E","01/01/1960","",""
-,-,"3056E ATAAC","01/01/1960","",""
-,-,"3066","01/01/1960","",""
-,-,"3116","01/01/1960","",""
-,-,"3116","01/01/2004","01/01/2005",""
-,-,"3116","01/01/2005","01/01/2009",""
-,-,"3116 - 2MR02651","01/01/1960","",""
-,-,"3116 T","01/01/1960","",""
-,-,"3126","01/01/1960","",""
-,-,"3126 DITA","01/01/1960","",""
-,-,"3126B","01/01/2000","",""
-,-,"3126B","01/01/2002","",""
-,-,"3131","01/01/1960","",""
-,-,"315 M","01/01/1960","",""
-,-,"3150","01/01/1960","",""
-,-,"3176C","01/01/1960","",""
-,-,"3176C ATAAC","01/01/1960","",""
-,-,"3176C ATAAC VHP","01/01/1960","",""
-,-,"3191","01/01/1960","",""
-,-,"3306","01/01/1960","",""
-,-,"3306","01/01/2004","01/01/2005",""
-,-,"3306 DITA","01/01/1999","",""
-,-,"3306T","01/01/1960","",""
-,-,"3306TA","01/01/1960","",""
-,-,"3368DT","01/01/1960","",""
-,-,"336B/401B/BD/BDT","01/01/1960","",""
-,-,"3388","01/01/1960","",""
-,-,"33DT","01/01/1960","",""
-,-,"3406B","01/01/1960","",""
-,-,"3527","01/01/1960","",""
-,-,"3FJ1","01/01/1960","",""
-,-,"3JN1","01/01/1960","",""
-,-,"3KK3000","01/01/1960","",""
-,-,"3KN1","01/01/1960","",""
-,-,"3NN1","01/01/1960","",""
-,-,"3RK1","01/01/1960","",""
-,-,"3RN","01/01/1960","",""
-,-,"3RN1","01/01/1960","",""
-,-,"3WM1","01/01/1960","",""
-,-,"3XK822","01/01/1960","",""
-,-,"3YZ1","01/01/1960","",""
-,-,"3ZM1","01/01/1960","",""
-,-,"4 CIL.","01/01/1960","",""
-,-,"4 CIL. ÁLCOOL/DIESEL IND.","01/01/1960","",""
-,-,"4-248","01/01/1960","",""
-,-,"4.4 4 CILINDROS","01/01/1960","",""
-,-,"4000","01/01/1960","",""
-,-,"4045 POWERTECH","01/01/1960","",""
-,-,"4045H","01/01/1960","",""
-,-,"445T/M3","01/01/1960","",""
-,-,"445TA/E3","01/01/2010","",""
-,-,"44DT","01/01/1960","",""
-,-,"44EWA","01/01/1960","",""
-,-,"4BT3.9","01/01/1960","",""
-,-,"4BTA3.9","01/01/1960","",""
-,-,"4BTA3.9","01/01/1994","01/01/1995",""
-,-,"4DS1","01/01/1960","",""
-,-,"4MM1","01/01/1960","",""
-,-,"4NZ1","01/01/1960","",""
-,-,"4TM1","01/01/1960","",""
-,-,"4U1387","01/01/1960","",""
-,-,"4XW1","01/01/1960","",""
-,-,"4YZ1 - 3999","01/01/1960","",""
-,-,"4YZ4000","01/01/1960","",""
-,-,"4ZJ1 - 459","01/01/1960","",""
-,-,"4ZJ460","01/01/1960","",""
-,-,"5.9L","01/01/1960","",""
-,-,"5000","01/01/1960","",""
-,-,"5600","01/01/1960","",""
-,-,"5BR1","01/01/1960","",""
-,-,"5BS1","01/01/1960","",""
-,-,"5FZ1","01/01/1960","",""
-,-,"5FZ1 - 6699","01/01/1960","",""
-,-,"5FZ6700","01/01/1960","",""
-,-,"5GW1","01/01/1960","",""
-,-,"5MD1 UP","01/01/1960","",""
-,-,"5MS1","01/01/1960","",""
-,-,"5NN","01/01/1960","",""
-,-,"5SK743","01/01/1960","",""
-,-,"5SW1","01/01/1960","",""
-,-,"5SZ1 - 3999","01/01/1960","",""
-,-,"5SZ4000","01/01/1960","",""
-,-,"5YJ1 - 2299","01/01/1960","",""
-,-,"6 CIL.","01/01/1960","",""
-,-,"6 CIL. ÁLCOOL/DIESEL IND.","01/01/1960","",""
-,-,"6/10.3L","01/01/2001","01/01/2002",""
-,-,"6/7.8L","01/01/2000","",""
-,-,"6000","01/01/1960","",""
-,-,"6068 / 6068H","01/01/1960","",""
-,-,"6068H","01/01/1960","",""
-,-,"6068T","01/01/1960","",""
-,-,"616 - 33C","01/01/1960","",""
-,-,"6295","01/01/1960","",""
-,-,"6296","01/01/1960","",""
-,-,"6859","01/01/1960","",""
-,-,"6BT 5.9","01/01/1960","",""
-,-,"6BT5.9","01/01/1960","",""
-,-,"6BT5.9-C","01/01/2005","01/01/2009",""
-,-,"6BT5.9-C","01/01/2006","01/01/2007",""
-,-,"6BT5.9-C","01/01/2007","01/01/2008",""
-,-,"6BTA5.9","01/01/1960","",""
-,-,"6BZ1","01/01/1960","",""
-,-,"6BZ1 - 699","01/01/1960","",""
-,-,"6CR1","01/01/1960","",""
-,-,"6CT8.3","01/01/1960","",""
-,-,"6DN1","01/01/1960","",""
-,-,"6KM1","01/01/1960","",""
-,-,"6LW1","01/01/1960","",""
-,-,"6LZ1 - 999","01/01/1960","",""
-,-,"6LZ1000","01/01/1960","",""
-,-,"6RM1","01/01/1960","",""
-,-,"6SW1","01/01/1960","",""
-,-,"6TL1 - 409","01/01/1960","",""
-,-,"6TL410","01/01/1960","",""
-,-,"6YN1","01/01/1960","",""
-,-,"7003","01/01/1960","",""
-,-,"7150 MAGNUM","01/01/1960","",""
-,-,"716917/716700","01/01/1960","",""
-,-,"718636","01/01/1960","",""
-,-,"7210 MAGNUM","01/01/1960","",""
-,-,"7220 MAGNUM","01/01/1960","",""
-,-,"7230 MAGNUM","01/01/1960","",""
-,-,"7240 MAGNUM","01/01/1960","",""
-,-,"7250 MAGNUM","01/01/1960","",""
-,-,"7FL1","01/01/1960","",""
-,-,"7JK1","01/01/1960","",""
-,-,"7JR1","01/01/1960","",""
-,-,"7JR1954","01/01/1960","",""
-,-,"7JR1960","01/01/1960","",""
-,-,"7JR2461","01/01/1960","",""
-,-,"7ML01824","01/01/1960","",""
-,-,"7ML860","01/01/1960","",""
-,-,"82V1 - UP, 32C","01/01/1960","",""
-,-,"8507","01/01/1960","",""
-,-,"8508","01/01/1960","",""
-,-,"85J9510 - 85J9510 - UP - 08Y","01/01/1960","",""
-,-,"85KD","01/01/1960","",""
-,-,"8709","01/01/1960","",""
-,-,"8713","01/01/1960","",""
-,-,"87V","01/01/1960","",""
-,-,"8FN1","01/01/1960","",""
-,-,"8PR1","01/01/1960","",""
-,-,"8RN1 - 4088","01/01/1960","",""
-,-,"8ZK6000","01/01/1960","",""
-,-,"9119672","01/01/1960","",""
-,-,"914","01/01/1960","",""
-,-,"924","01/01/1960","",""
-,-,"9573","01/01/1960","",""
-,-,"963","01/01/1960","",""
-,-,"963G","01/01/1960","",""
-,-,"9655","01/01/1960","",""
-,-,"9NW1","01/01/1960","",""
-,-,"9SR1","01/01/1960","",""
-,-,"9WG723","01/01/1960","",""
-,-,"9WS1","01/01/1960","",""
-,-,"9YR1","01/01/1960","",""
-,-,A25C/VOLVO TD71K,"01/01/1960","",""
-,-,A30001,"01/01/1960","",""
-,-,"AC2900, G226","01/01/1960","",""
-,-,AD14,"01/01/1960","",""
-,-,AGRALE,"01/01/1981","01/01/1982",""
-,-,AGRALE M 790,"01/01/1960","",""
-,-,AGRALE M790,"01/01/1960","",""
-,-,AKH1,"01/01/1960","",""
-,-,ALF1,"01/01/1960","",""
-,-,AP100B,"01/01/1960","",""
-,-,AP650B,"01/01/1960","",""
-,-,B3.9C,"01/01/2003","01/01/2004",""
-,-,B5.9,"01/01/2004","01/01/2005",""
-,-,B5.9C,"01/01/2005","01/01/2009",""
-,-,BDC1,"01/01/1960","",""
-,-,BF4M1013C,"01/01/1960","",""
-,-,BF6L913C,"01/01/1960","",""
-,-,BF6M1013 ECP,"01/01/1960","",""
-,-,BF6M1013EC,"01/01/1960","",""
-,-,BGB1,"01/01/1960","",""
-,-,BKK1,"01/01/1960","",""
-,-,BPR1,"01/01/1960","",""
-,-,C4.2 ACERT,"01/01/1960","",""
-,-,C6.4,"01/01/1960","",""
-,-,C7,"01/01/1960","",""
-,-,CA T3208,"01/01/1960","",""
-,-,CASE,"01/01/1960","",""
-,-,CASE 148,"01/01/1960","",""
-,-,CASE 188,"01/01/1960","",""
-,-,CASE 188D,"01/01/1960","",""
-,-,CASE 336B,"01/01/1960","",""
-,-,CASE 336B,"01/01/1982","01/01/1983",""
-,-,CASE 377,"01/01/1960","",""
-,-,CASE 4 -390,"01/01/1960","",""
-,-,CASE 445M2,"01/01/1960","",""
-,-,CASE 445T (4.5L) TURBO ENGINE,"01/01/1960","",""
-,-,CASE 445TM2,"01/01/1960","",""
-,-,CASE 4T390,"01/01/1960","",""
-,-,CASE 6-590,"01/01/1960","",""
-,-,CASE 6-830,"01/01/1960","",""
-,-,CASE 6T 8.3,"01/01/1960","",""
-,-,CASE 6T-590,"01/01/1960","",""
-,-,CASE 6T-830,"01/01/1960","",""
-,-,CASE 6T5.9,"01/01/1960","",""
-,-,CASE 6T8.3 1991,"01/01/1960","",""
-,-,CASE 6TA-830,"01/01/1960","",""
-,-,CAT,"01/01/1960","",""
-,-,CAT 13Z33450-UP,"01/01/1960","",""
-,-,CAT 13Z39400-UP,"01/01/1960","",""
-,-,CAT 1404,"01/01/1960","",""
-,-,CAT 3044C 6ZS1,"01/01/1960","",""
-,-,CAT 3044C 8BS1,"01/01/1960","",""
-,-,CAT 3054 BLD,"01/01/1960","",""
-,-,CAT 3054 BML,"01/01/1960","",""
-,-,CAT 3054 BNK,"01/01/1960","",""
-,-,CAT 3054 DITAAC BLD1,"01/01/1960","",""
-,-,CAT 3054B BFP1,"01/01/1960","",""
-,-,CAT 3054B BGJ1,"01/01/1960","",""
-,-,CAT 3054B BKG1,"01/01/1960","",""
-,-,CAT 3054C BGP1,"01/01/1960","",""
-,-,CAT 3054C DIT 1WN660,"01/01/1960","",""
-,-,CAT 3054C DIT 8ZM332,"01/01/1960","",""
-,-,CAT 3054C DIT 9WM1,"01/01/1960","",""
-,-,CAT 3054C DITAAC BKC,"01/01/1960","",""
-,-,CAT 3054C DITAAC BLL1,"01/01/1960","",""
-,-,CAT 3054C DITAAC BMC,"01/01/1960","",""
-,-,CAT 3054C DITAAC BML,"01/01/1960","",""
-,-,CAT 3054C DITAAC BMT1,"01/01/1960","",""
-,-,CAT 3054C DITAAC BNK,"01/01/1960","",""
-,-,CAT 3054C DITAAC BPN1,"01/01/1960","",""
-,-,CAT 3054C DITAAC BRG1,"01/01/1960","",""
-,-,CAT 3054C DITAAC BRY1,"01/01/1960","",""
-,-,CAT 3054C DITAAC FDP,"01/01/1960","",""
-,-,CAT 3054E ATAAC 2004,"01/01/1960","",""
-,-,CAT 3054T 8RN4089,"01/01/1960","",""
-,-,CAT 3054T BGJ1,"01/01/1960","",""
-,-,CAT 3054T BMC1,"01/01/1960","",""
-,-,CAT 3054T BNK1,"01/01/1960","",""
-,-,CAT 3054T FDP1,"01/01/1960","",""
-,-,CAT 3056,"01/01/1960","",""
-,-,CAT 3064T 2004 6GK1 - 9LJ,"01/01/1960","",""
-,-,CAT 3116,"01/01/1960","",""
-,-,CAT 3116 (6.6L) 1DR1106,"01/01/1960","",""
-,-,CAT 3116 (6.6L) 8DN549,"01/01/1960","",""
-,-,CAT 3116 7JR3036 4TF67498,"01/01/1960","",""
-,-,CAT 3116 8PR1,"01/01/1960","",""
-,-,CAT 3116 T,"01/01/1960","",""
-,-,CAT 3116T VHP 3YK1,"01/01/1960","",""
-,-,CAT 3126 DITA 1PZ,"01/01/1960","",""
-,-,CAT 3126B ATAAC HEUI 2JS1,"01/01/1960","",""
-,-,CAT 3126B ATAAC HEUI 5FW1,"01/01/1960","",""
-,-,CAT 3126B ATAAC HEUI 8RS611,"01/01/1960","",""
-,-,CAT 3306,"01/01/1960","",""
-,-,CAT 3306TA,"01/01/1960","",""
-,-,CAT 8BR1,"01/01/2010","",""
-,-,CAT 8BR816,"01/01/2010","",""
-,-,CAT CPT1UP,"01/01/1960","",""
-,-,CAT CPT1UP,"01/01/2006","01/01/2007",""
-,-,CAT CPT1UP,"01/01/2007","01/01/2008",""
-,-,CAT KHX1-UP,"01/01/1960","",""
-,-,CAT KHX304-UP,"01/01/1960","",""
-,-,CAT RSX1-UP,"01/01/1960","",""
-,-,CAT1404,"01/01/1960","",""
-,-,CAT7JK1UP,"01/01/1960","",""
-,-,CATC7C1-UP,"01/01/1960","",""
-,-,CATC7C1-UP,"01/01/2006","01/01/2007",""
-,-,CATCRS1-UP,"01/01/1960","",""
-,-,CBT 1,"01/01/1960","",""
-,-,CBT1,"01/01/1960","",""
-,-,CBY1,"01/01/1960","",""
-,-,CLM1,"01/01/1960","",""
-,-,CLZ1,"01/01/1960","",""
-,-,CNH NF 6TAA-6802,"01/01/2006","01/01/2007",""
-,-,CONSOLDI 4-390,"01/01/1960","",""
-,-,CONSOLDI 8.3L,"01/01/1960","",""
-,-,CRAWLER,"01/01/1960","",""
-,-,CS583C,"01/01/1960","",""
-,-,CUMMINS,"01/01/1960","",""
-,-,CUMMINS,"01/01/1997","",""
-,-,CUMMINS,"01/01/2004","01/01/2005",""
-,-,CUMMINS,"01/01/2005","01/01/2009",""
-,-,CUMMINS,"01/01/2006","01/01/2007",""
-,-,CUMMINS 401213,"01/01/1960","",""
-,-,CUMMINS 4B,"01/01/1996","01/01/1997",""
-,-,CUMMINS 4B-3.9L,"01/01/1996","01/01/1997",""
-,-,CUMMINS 4B3.9,"01/01/1960","",""
-,-,CUMMINS 4BT 3.9,"01/01/1960","",""
-,-,CUMMINS 5.9B,"01/01/1960","",""
-,-,CUMMINS 6 BT,"01/01/1998","",""
-,-,CUMMINS 6 BT,"01/01/1999","",""
-,-,CUMMINS 6 CT,"01/01/1998","",""
-,-,CUMMINS 6 CT,"01/01/1999","",""
-,-,CUMMINS 6 CTA-83,"01/01/1960","",""
-,-,CUMMINS 6 T,"01/01/1998","",""
-,-,CUMMINS 6BT 5.9,"01/01/1960","",""
-,-,CUMMINS 6BT 5.9C,"01/01/1960","",""
-,-,CUMMINS 6BT5.9,"01/01/1960","",""
-,-,CUMMINS 6BT59,"01/01/1960","",""
-,-,CUMMINS 6BTAA 5.9,"01/01/2003","01/01/2004",""
-,-,CUMMINS 6BTTAA5.9,"01/01/2000","",""
-,-,CUMMINS 6C8.3,"01/01/1960","",""
-,-,CUMMINS 6CT 8-3,"01/01/1960","",""
-,-,CUMMINS 6CT 8.3,"01/01/1960","",""
-,-,CUMMINS 6CT-8.3,"01/01/1960","",""
-,-,CUMMINS 6CT8-3,"01/01/1960","",""
-,-,CUMMINS 6CT8.3,"01/01/1960","",""
-,-,CUMMINS 6CT8.3C,"01/01/2001","01/01/2002",""
-,-,CUMMINS 6CT83,"01/01/1960","",""
-,-,CUMMINS 6CTA 83,"01/01/1960","",""
-,-,CUMMINS 6CTA-8.3,"01/01/1960","",""
-,-,CUMMINS 6CTA8.3,"01/01/1960","",""
-,-,CUMMINS 6CTAA 8.3T,"01/01/1960","",""
-,-,CUMMINS 6T-830,"01/01/1960","",""
-,-,CUMMINS 8.3C,"01/01/1960","",""
-,-,CUMMINS 855C,"01/01/1960","",""
-,-,CUMMINS B 3.9,"01/01/1960","",""
-,-,CUMMINS B5. 9C,"01/01/1960","",""
-,-,CUMMINS LTA10,"01/01/1960","",""
-,-,CUMMINS MOD 6CT8.3,"01/01/1960","",""
-,-,CUMMINS N-855C,"01/01/1960","",""
-,-,CUMMINS N-855C-240,"01/01/1960","",""
-,-,CUMMINS N855,"01/01/1960","",""
-,-,CUMMINS N855C,"01/01/1960","",""
-,-,CUMMINS N855C-250,"01/01/1960","",""
-,-,CUMMINS NH,"01/01/1960","",""
-,-,CUMMINS NH240,"01/01/1960","",""
-,-,CUMMINS NT-NTA855,"01/01/1960","",""
-,-,CUMMINS NT855,"01/01/1960","",""
-,-,CUMMINS NT855,"01/01/1978","",""
-,-,CUMMINS NT855-C,"01/01/1960","",""
-,-,CUMMINS NTA-14,"01/01/1960","",""
-,-,CUMMINS NTA-855,"01/01/1960","",""
-,-,CUMMINS QSC8.3,"01/01/2004","01/01/2005",""
-,-,CUMMINS QSC8.3,"01/01/2010","",""
-,-,CUMMINS QSK19,"01/01/1960","",""
-,-,CUMMINS QSL9 0,"01/01/1960","",""
-,-,CUMMINS QSL9 0,"01/01/2006","01/01/2007",""
-,-,CUMMINS QSM 11,"01/01/1960","",""
-,-,CUMMINS SÉRIE C,"01/01/1960","",""
-,-,CUMMINS TIER 3,"01/01/2009","01/01/2010",""
-,-,CUMMINS VT-1710,"01/01/1960","",""
-,-,CURSOR 10,"01/01/2001","01/01/2002",""
-,-,CURSOR 13,"01/01/1960","",""
-,-,CURSOR 13,"01/01/2001","01/01/2002",""
-,-,CURSOR 13,"01/01/2002","",""
-,-,CURSOR 13,"01/01/2007","01/01/2008",""
-,-,D04FD-TAA,"01/01/2007","01/01/2008",""
-,-,D330 - 9VA1,"01/01/1960","",""
-,-,D5D,"01/01/1960","",""
-,-,D6AZ,"01/01/1960","",""
-,-,D6D,"01/01/2005","01/01/2009",""
-,-,D6D EFE2,"01/01/2005","01/01/2009",""
-,-,D924TI-E,"01/01/2003","01/01/2004",""
-,-,D9B-260 260CV,"01/01/1960","",""
-,-,D9B-260 260CV,"01/01/2006","01/01/2007",""
-,-,DETROIT 4.53N,"01/01/1977","01/01/1979",""
-,-,DETROIT 6V 53,"01/01/1960","",""
-,-,DETROIT 6V 53,"01/01/1978","",""
-,-,DETROIT 6V 71,"01/01/1960","",""
-,-,DETROIT 6V53,"01/01/1978","",""
-,-,DETROIT DIESEL 4-53,"01/01/1960","",""
-,-,DETROIT DIESEL 6-53,"01/01/1960","",""
-,-,DEUTZ,"01/01/1960","",""
-,-,"DEUTZ 3, 4 CIL.","01/01/1960","",""
-,-,DEUTZ 3HC1 - UP,"01/01/1960","",""
-,-,DEUTZ 4 CIL.,"01/01/1960","",""
-,-,DEUTZ 4CIL.,"01/01/1960","",""
-,-,DEUTZ 4L 912,"01/01/1960","",""
-,-,DEUTZ 6 CIL.,"01/01/1960","",""
-,-,DEUTZ 6CIL.,"01/01/1960","",""
-,-,DEUTZ 6CIL.,"01/01/1975","",""
-,-,DEUTZ 6CIL.,"01/01/1976","01/01/1977",""
-,-,DEUTZ A2L-1014,"01/01/1960","",""
-,-,DEUTZ A4L-1014,"01/01/1960","",""
-,-,DEUTZ AF6L-413,"01/01/1960","",""
-,-,DEUTZ AG,"01/01/1995","01/01/1996",""
-,-,DEUTZ BF4M1012,"01/01/1960","",""
-,-,DEUTZ BF4M2011,"01/01/1960","",""
-,-,DEUTZ BF6L913,"01/01/1960","",""
-,-,DEUTZ F-4L-514,"01/01/1960","",""
-,-,DEUTZ F-6-413-514,"01/01/1960","",""
-,-,DEUTZ F12L-413,"01/01/1960","",""
-,-,DEUTZ F2L912,"01/01/1960","",""
-,-,DEUTZ F3L-912,"01/01/1960","",""
-,-,DEUTZ F3L912,"01/01/1960","",""
-,-,DEUTZ F3M1011F,"01/01/1996","01/01/1997",""
-,-,DEUTZ F3M1011F,"01/01/1997","",""
-,-,DEUTZ F4L 912,"01/01/1970","",""
-,-,DEUTZ F4L-912,"01/01/1960","",""
-,-,DEUTZ F4L912,"01/01/1960","",""
-,-,DEUTZ F4L912 4CIL.,"01/01/1960","",""
-,-,"DEUTZ F4L912, F6L912","01/01/1960","",""
-,-,DEUTZ F5L912,"01/01/1960","",""
-,-,DEUTZ F6-514,"01/01/1960","01/01/1966",""
-,-,DEUTZ F6L-514,"01/01/1960","",""
-,-,DEUTZ F6L-514,"01/01/1967","",""
-,-,DEUTZ F6L-912,"01/01/1960","",""
-,-,DEUTZ F6L912,"01/01/1960","",""
-,-,DOOSAN DB58TIS,"01/01/1960","",""
-,-,DS11 - DS14 - VEICULAR,"01/01/1960","",""
-,-,DS11AO1 - DS14AO1,"01/01/1981","01/01/1982",""
-,-,DS11AO6,"01/01/1960","",""
-,-,DS11MO1 - DS14MO1 - MARÃ­TIMO,"01/01/1960","",""
-,-,DS14 - VEICULAR,"01/01/1981","01/01/1982",""
-,-,DSI11M - DSI14M - MARÃ­TIMO,"01/01/1960","",""
-,-,DSI14A - ESTACIONÁRIO,"01/01/1960","",""
-,-,ELÉTRICO,"01/01/1960","",""
-,-,F3M1008,"01/01/1960","",""
-,-,F6L912,"01/01/1960","",""
-,-,FDG1,"01/01/1960","",""
-,-,FIAT,"01/01/1960","",""
-,-,FIAT 6956,"01/01/1960","",""
-,-,FIAT 8065,"01/01/1960","",""
-,-,FIAT 8065T,"01/01/1960","",""
-,-,FIAT 8205.05,"01/01/1960","",""
-,-,FIAT 8215,"01/01/1960","",""
-,-,FIAT 8215.22 TURBO,"01/01/1960","",""
-,-,FIAT 8365,"01/01/1960","",""
-,-,FIAT 8365 TURBO,"01/01/1960","",""
-,-,FIAT 8365.05,"01/01/1960","",""
-,-,FIAT 836ST,"01/01/1960","",""
-,-,FIATHTCH 8045SI.25.ALL.001,"01/01/1960","",""
-,-,FIATHTCH 8045SI.25.ALL.002,"01/01/1960","",""
-,-,FIATHTCH COMPACT LINE,"01/01/1960","",""
-,-,FL14B,"01/01/1960","",""
-,-,FORD,"01/01/1960","",""
-,-,FORD 401,"01/01/1960","",""
-,-,FORD 4CIL.,"01/01/1960","",""
-,-,FORD 6CIL.,"01/01/1960","",""
-,-,FORD DIESEL,"01/01/1960","",""
-,-,FYZ1 - 3999,"01/01/1960","",""
-,-,G 4.151 SÉRIE 0162,"01/01/1960","",""
-,-,G 4.151 SÉRIE 2396,"01/01/1960","",""
-,-,G 4.151 SÉRIE 2516,"01/01/1960","",""
-,-,G151,"01/01/1960","",""
-,-,GM 151; GASOLINA,"01/01/1960","",""
-,-,"GM 3, 53","01/01/1960","",""
-,-,GM 3-53,"01/01/1960","",""
-,-,GM 4.153,"01/01/1960","",""
-,-,GM 4151,"01/01/1960","",""
-,-,GM 4153,"01/01/1960","",""
-,-,GM 6250,"01/01/1960","",""
-,-,GM 6V-53,"01/01/1960","",""
-,-,GM GASOLINA,"01/01/1960","",""
-,-,HY-40/55,"01/01/1960","",""
-,-,HYUNDAI,"01/01/1960","",""
-,-,HÉRCULES D2300,"01/01/1960","",""
-,-,IHC D359T,"01/01/1960","",""
-,-,IHC D505T,"01/01/1960","",""
-,-,INTERNACIONAL P4000,"01/01/1960","",""
-,-,ISUZU 2AA111999,"01/01/1960","",""
-,-,ISUZU 4BG1T,"01/01/1960","",""
-,-,ISUZU 6BG1 2001,"01/01/1960","",""
-,-,ISUZU 6BG1 2001 717098,"01/01/1960","",""
-,-,IVECO,"01/01/1960","",""
-,-,IVECO 445TA/M3,"01/01/1960","",""
-,-,IVECO 8065T,"01/01/1960","",""
-,-,"IVECO F4GE (4,5 L) 98CV","01/01/2008","",""
-,-,JOHN DEERE,"01/01/1960","",""
-,-,JOHN DEERE,"01/01/1987","01/01/2001",""
-,-,JOHN DEERE,"01/01/2000","",""
-,-,JOHN DEERE,"01/01/2001","01/01/2002",""
-,-,JOHN DEERE,"01/01/2003","01/01/2004",""
-,-,JOHN DEERE 4045T,"01/01/1960","",""
-,-,JOHN DEERE 4045T,"01/01/1987","01/01/2001",""
-,-,JPL1,"01/01/1960","",""
-,-,KOMATSU,"01/01/1960","",""
-,-,KOMATSU S6D114E-1 A30001,"01/01/1960","",""
-,-,KOMATSU S6D170-1,"01/01/1960","",""
-,-,KOMATSU SAA6D114E-3,"01/01/1960","",""
-,-,KUBATA D750-B,"01/01/1960","",""
-,-,KUBOTA,"01/01/1960","",""
-,-,KUBOTA D722,"01/01/1960","",""
-,-,LCR,"01/01/2003","01/01/2004",""
-,-,LDW502M,"01/01/1960","",""
-,-,LDW602M,"01/01/1960","",""
-,-,LEYLAND 4.98,"01/01/1960","",""
-,-,LIEBHERR,"01/01/2003","01/01/2004",""
-,-,LIEBHERR MERCEDES/ LIEBHERR,"01/01/1960","",""
-,-,LOGGER CRAWLER,"01/01/1960","",""
-,-,LTA10,"01/01/1960","",""
-,-,M. BENZ OM 352A,"01/01/1960","",""
-,-,MAB1,"01/01/1960","",""
-,-,MAC1,"01/01/1960","",""
-,-,MAXION 4000 T,"01/01/1960","",""
-,-,MB OM 314,"01/01/1960","",""
-,-,MB OM 352,"01/01/1960","",""
-,-,MB OM 352,"01/01/1960","01/01/1966",""
-,-,MB OM 352,"01/01/1980","",""
-,-,MB OM 352 - INDL.,"01/01/1960","",""
-,-,MB OM314,"01/01/1960","",""
-,-,MB OM314,"01/01/1960","01/01/1966",""
-,-,MB OM314,"01/01/1982","01/01/1983",""
-,-,MB OM314,"01/01/1983","01/01/1984",""
-,-,MB OM321,"01/01/1960","",""
-,-,MB OM325A,"01/01/1960","",""
-,-,MB OM352,"01/01/1960","",""
-,-,MB OM352,"01/01/1960","01/01/1966",""
-,-,MB OM352,"01/01/1978","",""
-,-,MB OM352,"01/01/1980","",""
-,-,MB OM352,"01/01/1982","01/01/1983",""
-,-,MB OM352,"01/01/1983","01/01/1984",""
-,-,MB OM352 IND.,"01/01/1960","",""
-,-,MB OM352 IND.,"01/01/1982","01/01/1983",""
-,-,MB OM352 VEIC. INDL.,"01/01/1978","",""
